name,province,city,address,phone_number,website,url
نمایندگی تهران و البرز - جامعه المصطفی (ص) العالمیه,تهران,تهران,تهران، کریم‌خان زند، سنایی ۸، پلاک۴. دفتر نمایندگی تهران و البرز,۰۲۱۸۸۳۱۹۹۷۹ ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/794/نمایندگی-تهران-و-البرز--جامعه-المصطفی-ص-العالمیه/search/
کتابخانه ۱۳ آبان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,شهر رى,شهرري - خيابان شهيدرجائي - شهرك ۱۳آبان - خيابان شهيد مولايي جنوبي - كوچه شهيد عطري - جنب مسجد سيدالشهداء (ع).,55525577-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/573/کتابخانه-۱۳-آبان-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه ابن سینا (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان پیروزی - میدان چهار صد دستگاه.,33303103-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/562/کتابخانه-ابن-سینا-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه اخلاق (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان پيروزي - خيابان شكوفه - خيابان شهيد كاظمي - جنب بوستان گلزار - فرهنگسراي اخلاق,33312303-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/563/کتابخانه-اخلاق-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه اداره کل پژوهش های اسلامی رسانه - دفتر نمایندگی خراسان,خراسان رضوی,مشهد,مشهد مقدس - خیابان امام خمینی (ره) - امام خمینی 25 - مجموعه فرهنگی و هنری صبا - طبقه سوم.,05132215106 ( داخلی  ),http://Lib.irib.ir,https://lib.ir/fa/library/556/کتابخانه-اداره-کل-پژوهش-های-اسلامی-رسانه--دفتر-نمایندگی-خراسان/search/
کتابخانه استاد حکیمی (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خيابان يافت آباد - شهرك ولي عصر - انتهاي حيدري جنوبي - خيابان پژاند -  بوستان,66297525-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/610/کتابخانه-استاد-حکیمی-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه استاد معین (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - جاده مخصوص كرج - شهرک وردآورد (كيلومتر۱۹) - بلواراصلي وردآورد، خانه فرهنگ وردآورد.,4498107-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/583/کتابخانه-استاد-معین-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
كتابخانه آستان حضرت عبدالعظيم حسنى (ع),تهران,شهر رى,شهرری – آستان مقدس حضرت عبدالعظیم (ع) - بست شمالی (درب شماره 9) - كتابخانه مركزی آستان مقدّس حضرت عبد العظیم (ع).,021-51223350-021  كتابخانه برادران:2-51223362-كتابخانه خواهران:3 ( داخلی  ),http://abdolazim.com,https://lib.ir/fa/library/295/كتابخانه-آستان-حضرت-عبدالعظيم-حسنى-ع/search/
كتابخانه آستانه مقدس حضرت فاطمه معصومه (س),قم,قم,قم مقدسه - ميدان آستانه- كتابخانه آستانه مقدس حضرت معصومه سلام الله عليها.,025-37840750-(داخلی 906) 53  ( داخلی  ),http://lib.amfm.ir/,https://lib.ir/fa/library/294/كتابخانه-آستانه-مقدس-حضرت-فاطمه-معصومه-س/search/
کتابخانه آفتاب (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - بزرگراه شهید نواب صفوی - ابتدای خیابان کمیل شرقی – فرهنگسرای انقلاب اسلامی.,55408668-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/584/کتابخانه-آفتاب-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
کتابخانه آفتابگردان (کتابخانه های سازمان فرهنگی هنری شهرداری تهران),تهران,تهران,تهران - خیابان دکتر شریعتی - بلوار صبا - بلوار شهید اندرزگو - پارک قیطریه - فرهنگسرای ملل.,55408668-55419057 021-021 ( داخلی  ),http://tlib.ir,https://lib.ir/fa/library/585/کتابخانه-آفتابگردان-کتابخانه-های-سازمان-فرهنگی-هنری-شهرداری-تهران/search/
كتابخانه الغدير یزد (مؤسسه فرهنگی تحقيقاتی اخوان دستمالچی),یزد,يزد,يزد - ميدان دروازه قرآن - مؤسسه فرهنگی تحقيقاتی اخوان دستمالچى,03535238233 ( داخلی 212 ),http://ghadir-edu.com,https://lib.ir/fa/library/112/كتابخانه-الغدير-یزد-مؤسسه-فرهنگی-تحقيقاتی-اخوان-دستمالچی/search/
كتابخانه  امام خميني (ره) شهر قنوات,قم,قنوات,شهر قنوات - خيابان امام خمينى (ره) - مقابل پاسگاه انتظامى.,33223100-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/388/كتابخانه-امام-خميني-ره-شهر-قنوات/search/
