name,province,city,address,phone_number,website,url
کتابخانه عمومی نرگس,قم,قم,قم-بلوار شهید صدوقی- خیابان یاسمن- بوستان نرگس,32907571-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/765/کتابخانه-عمومی-نرگس/search/
كتابخانه عمومي و امانی (دفتر تبليغات اسلامی حوزه علميه قم),قم,قم,قم مقدسه - ميدان شهدا- خيابان معلّم- ساختمان كتابخانه عمومی و امانی دفتر تبليغات اسلامي .,371160-025 ( داخلی 1271 ),http://lib.isca.ac.ir,https://lib.ir/fa/library/119/كتابخانه-عمومي-و-امانی-دفتر-تبليغات-اسلامی-حوزه-علميه-قم/search/
كتابخانه عمومی يادگار امام (ره),قم,قم,قم مقدسه - بلوار شهید صدوقی - شهرك امام خميني (ره)- جنب مسجد قدس.,32705282-025 ( داخلی  ),http://qompl.ir,https://lib.ir/fa/library/256/كتابخانه-عمومی-يادگار-امام-ره/search/
كتابخانه گنجینه نور (مركز حفظ و نگهداری پژوهش ها و پایان نامه های قرآنی) مؤسسه معارف اسلامی امام رضا (ع),قم,قم,قم مقدسه- بلوار شهید محمد منتظری - كوچه شماره 8 - پلاك 12 .,377422010-37740559-025 ( داخلی  ),http://maaref.ir,https://lib.ir/fa/library/443/كتابخانه-گنجینه-نور-مركز-حفظ-و-نگهداری-پژوهش-ها-و-پایان-نامه-های-قرآنی-مؤسسه-معارف-اسلامی-امام-رضا-ع/search/
كتابخانه مجمع عالی حكمت اسلامی,قم,قم,قم - خیابان 19 دی- كوچه 10- فرعی اول سمت چپ- پلاك 5 .,11-37757610-025 ( داخلی  ),http://hekmateislami.com,https://lib.ir/fa/library/440/كتابخانه-مجمع-عالی-حكمت-اسلامی/search/
كتابخانه مدرسه اسلامی هنر,قم,قم,قم مقدسه - بلوار بسیج (سی متری هنرستان) - بین کوچه 20 و 22.,02537830782 ( داخلی  ),http://Itaihe.ac.ir,https://lib.ir/fa/library/367/كتابخانه-مدرسه-اسلامی-هنر/search/
كتابخانه مدرسه عالی فقه و معارف اسلامی (حجتيه),قم,قم,قم مقدسه- ميدان شهداء - خيابان حجتيه- مدرسه مباركه حجتيه.,37742086-025 ( داخلی  ),http://feqh.miu.ac.ir,https://lib.ir/fa/library/186/كتابخانه-مدرسه-عالی-فقه-و-معارف-اسلامی-حجتيه/search/
كتابخانه مدرسه فرزانگان قم,قم,قم,قم - شهرك امام خمینی (ره) - خیابان شهید مطهری.,32700246-025 ( داخلی  ),http://farzaneganqom.ir,https://lib.ir/fa/library/372/كتابخانه-مدرسه-فرزانگان-قم/search/
كتابخانه مدرسه فقهی امام باقر (ع),قم,قم,قم - خیابان شهدا - انتهای كوچه 19 - سمت راست - مدرسه فقهی امام محمد باقر علیه السلام.,37741514-025 ( داخلی  ),http://mfeb.ir,https://lib.ir/fa/library/370/كتابخانه-مدرسه-فقهی-امام-باقر-ع/search/
کتابخانه، مرکز اسناد و مدارک علمی پژوهشگاه حوزه و دانشگاه,قم,قم,دفتر قم مقدسه - شهرك پرديسان - بلوار دانشگاه - جنب دانشگاه آزاد اسلامى. دفتر تهران - خيابان انقلاب اسلامی - نرسيده به وصال شيرازی - كوچه اسكو - پلاك4 .,02532111301 ( داخلی  ),http://www.lib.rihu.ac.ir,https://lib.ir/fa/library/120/کتابخانه-مرکز-اسناد-و-مدارک-علمی-پژوهشگاه-حوزه-و-دانشگاه/search/
